1,8,(150,2.85509),(157,3.16747),(186,3.3744),(151,3.68902),(159,3.932),(360,3.99054),(178,4.39674),(12,5.0902)
2,8,(166,4.35563),(94,6.36587),(11,6.91899),(167,6.92059),(14,7.06916),(64,7.21232),(87,7.38283),(234,7.92244)
3,8,(145,2.34733),(171,2.64191),(191,2.82327),(170,3.31705),(327,3.73748),(112,3.90354),(146,4.04628),(253,4.12247)
4,8,(176,1.86339),(172,2.99357),(195,3.36684),(67,3.37632),(177,3.44123),(194,4.55304),(337,4.97311),(211,5.0682)
5,8,(217,2.52866),(214,2.8576),(216,3.07876),(218,3.36365),(213,3.87295),(315,4.74137),(291,4.76686),(139,4.89902)
6,8,(198,3.53267),(199,4.50072),(200,4.79163),(196,4.93564),(126,5.21293),(84,5.56337),(71,5.63192),(149,5.66495)
7,8,(296,1.57463),(339,2.4837),(355,2.51409),(223,2.67633),(342,2.90047),(25,3.01446),(55,3.06518),(63,3.29646)
8,8,(217,3.49657),(218,4.10057),(291,5.04185),(214,5.15902),(251,5.78857),(114,5.81876),(170,5.83448),(216,5.97587)
9,8,(280,0.747937),(10,2.14575),(282,2.16415),(260,2.18347),(219,2.28105),(220,2.48776),(304,2.65757),(149,2.6698)
10,8,(220,1.44444),(280,1.93115),(309,2.12258),(9,2.14575),(149,2.19949),(260,2.64159),(282,2.90057),(304,2.90235)
11,8,(64,0.293333),(33,5.33721),(40,5.37085),(273,5.77511),(210,6.02945),(206,6.14011),(207,6.58118),(166,6.68552)
12,8,(186,2.42737),(187,2.55682),(178,3.19464),(196,3.35572),(165,3.77181),(65,3.87628),(38,4.20045),(97,4.38868)
13,8,(76,3.82023),(97,4.28208),(65,4.29941),(165,4.37935),(17,4.94366),(117,5.07465),(186,5.09235),(188,5.09361)
14,8,(40,4.64864),(341,5.37267),(324,5.99058),(245,6.0208),(359,6.07138),(209,6.08482),(34,6.14413),(62,6.18477)
15,8,(66,1.46413),(192,3.74184),(303,3.99672),(301,4.11309),(313,4.32498),(302,4.79465),(197,4.98292),(288,4.99008)
16,8,(68,0.253333),(107,2.42756),(90,3.58127),(332,3.80019),(130,3.80044),(42,4.17201),(9,4.23153),(280,4.46243)
17,8,(65,3.17059),(76,3.60544),(97,3.60564),(117,3.81118),(159,4.11752),(165,4.24456),(126,4.31693),(32,4.33987)
18,8,(194,3.59865),(195,4.03904),(67,4.21027),(246,4.7094),(245,4.74209),(276,5.05772),(94,5.12937),(177,5.16363)
19,8,(313,4.95527),(51,5.60444),(316,5.84208),(301,5.89647),(314,6.10717),(128,6.1193),(95,6.38242),(365,6.45726)
20,8,(228,3.91347),(148,4.79032),(224,5.08479),(93,5.21995),(223,5.30027),(225,5.30714),(129,5.45872),(63,5.47399)
21,8,(48,9.8769),(27,11.3105),(72,12.0295),(127,12.6845),(241,13.1745),(100,13.2114),(61,13.4704),(164,13.4809)
22,8,(182,6.03067),(198,7.05157),(184,7.79744),(84,7.80151),(6,7.93932),(278,8.1523),(183,8.67159),(77,8.7098)
23,8,(7,6.96735),(296,7.56852),(20,7.67314),(63,7.70031),(203,7.70365),(28,7.82578),(93,8.00654),(342,8.16676)
24,8,(315,4.07119),(313,4.34031),(253,4.3415),(303,4.49884),(301,4.5255),(327,4.52984),(128,4.67708),(252,4.7946)
25,8,(343,2.18845),(355,2.75568),(335,2.77279),(339,2.87944),(7,3.01446),(334,3.10862),(296,3.69767),(342,4.28526)
26,8,(318,4.18006),(292,7.13471),(357,7.4616),(325,7.52991),(306,7.55261),(305,7.60084),(319,7.68706),(331,7.89447)
27,8,(348,9.76664),(269,10.4421),(345,10.832),(72,10.8637),(267,10.9462),(268,11.2967),(21,11.3105),(350,11.4391)
28,8,(93,4.3534),(223,4.60948),(354,5.07402),(342,5.17875),(116,5.5047),(85,5.55392),(300,5.6077),(20,5.66262)
29,8,(82,6.65016),(76,6.65036),(84,6.82943),(117,6.91303),(97,7.37142),(178,7.48976),(126,7.60061),(83,7.68051)
30,8,(328,2.36347),(145,3.51189),(115,4.25639),(314,4.52769),(315,4.76433),(191,4.82104),(197,4.84753),(95,4.99477)
31,8,(277,3.52795),(276,4.01536),(67,5.39207),(244,5.44366),(351,5.472),(366,5.48686),(53,5.7013),(248,5.74471)
32,8,(17,4.33987),(196,4.53879),(12,4.97977),(165,5.26219),(92,5.60445),(147,5.8133),(361,6.09338),(76,6.10505)
33,8,(64,5.25721),(11,5.33721),(353,5.95902),(99,6.0521),(209,6.52512),(356,6.56015),(167,6.72245),(210,6.77358)
34,8,(14,6.14413),(62,6.34351),(40,7.83911),(324,7.89212),(242,8.07358),(53,8.08975),(245,8.17422),(248,8.21646)
35,8,(130,3.99132),(9,4.91553),(161,5.14445),(280,5.29013),(47,5.4321),(304,5.61934),(96,5.82367),(323,5.83376)
36,8,(17,4.416),(92,5.34572),(71,6.04404),(80,6.18299),(361,6.35483),(159,6.35901),(76,6.47276),(186,6.52979)
37,8,(328,4.17434),(316,5.32874),(314,5.36003),(30,5.551),(95,5.71528),(303,5.71799),(315,5.7653),(191,5.91488)
38,8,(361,4.0192),(12,4.20045),(186,4.52383),(126,4.87961),(196,5.02977),(83,5.05338),(71,5.08726),(97,5.1365)
39,8,(314,4.64834),(95,4.92358),(315,5.21502),(313,5.43066),(301,5.50933),(327,5.7261),(328,5.89158),(303,5.96267)
40,8,(206,4.64504),(14,4.64864),(210,5.04104),(64,5.07752),(209,5.1295),(11,5.37085),(242,5.76956),(244,5.80903)
41,8,(42,4.24819),(361,4.88794),(90,5.00088),(57,5.18712),(200,5.34246),(199,5.56492),(44,6.45589),(282,6.48822)
42,8,(90,2.06372),(44,2.50103),(362,3.87635),(16,4.17201),(41,4.24819),(59,4.40865),(57,4.4125),(68,4.42534)
43,8,(53,4.96473),(306,5.35058),(305,6.46064),(336,6.86219),(56,7.15254),(284,7.20415),(319,7.24042),(108,7.61319)
44,8,(42,2.50103),(90,3.84475),(362,4.13571),(141,5.12974),(97,5.28288),(282,5.33127),(329,5.33161),(71,5.33945)
45,8,(299,2.51634),(55,4.8937),(129,5.38976),(296,5.50306),(148,5.51575),(85,5.60882),(155,5.74029),(80,5.84532)
46,8,(95,2.54247),(115,2.66973),(288,3.08801),(128,3.47287),(250,3.64239),(365,3.791),(314,3.97306),(73,4.14453)
47,8,(130,3.51069),(304,4.22296),(282,4.36616),(161,4.38092),(326,4.41919),(9,4.46252),(280,4.53342),(323,4.53429)
48,8,(100,7.92847),(44,9.78299),(267,9.79232),(21,9.8769),(269,10.3125),(72,10.6583),(17,11.0172),(241,11.1577)
49,8,(159,5.91034),(280,6.28259),(282,6.36663),(9,6.61888),(151,6.68023),(162,6.92561),(13,6.98383),(107,7.14469)
50,8,(58,4.68567),(156,4.74699),(288,5.0416),(46,5.41273),(95,6.25081),(192,6.33533),(115,6.53305),(328,6.84701)
51,8,(95,3.97103),(115,4.2509),(314,4.40627),(58,5.05259),(328,5.35459),(193,5.49709),(46,5.5908),(19,5.60444)
52,8,(90,5.35922),(42,7.31628),(362,7.4763),(35,8.30668),(16,8.83383),(59,8.9364),(68,8.95383),(17,8.95809)
53,8,(209,4.7336),(43,4.96473),(207,5.02982),(206,5.11719),(67,5.44041),(210,5.49219),(31,5.7013),(212,5.74027)
54,8,(311,6.188),(310,7.0058),(305,7.75025),(108,7.9583),(166,8.28603),(295,8.298),(292,8.3516),(330,8.42476)
55,8,(296,2.57354),(201,2.83639),(7,3.06518),(342,3.09454),(203,3.48248),(355,3.80784),(74,3.86259),(339,4.04691)
56,8,(310,5.7635),(311,6.10865),(336,6.90715),(292,7.00093),(43,7.15254),(306,7.28267),(239,7.84632),(284,7.90374)
57,8,(60,3.94834),(97,4.0428),(83,4.16106),(162,4.27474),(92,4.293),(361,4.39672),(42,4.4125),(186,4.44783)
58,8,(95,2.36515),(288,3.00121),(115,3.62843),(314,3.79574),(301,4.01147),(303,4.02117),(302,4.04009),(156,4.1709)
59,8,(257,4.05663),(42,4.40865),(90,4.628),(169,5.13746),(332,5.20272),(68,5.23714),(307,5.2688),(16,5.38381)
