1,10,(1445,0.114298),(633,0.1311),(473,0.134666),(126,0.140102),(1087,0.172969),(3,0.19272),(1450,0.197981),(870,0.206132),(1459,0.211561),(527,0.254915)
2,10,(867,0.257852),(634,0.264223),(1380,0.266075),(815,0.271903),(1392,0.278401),(175,0.298307),(1469,0.319543),(1459,0.323045),(128,0.339685),(527,0.35564)
3,10,(473,0.175324),(1087,0.188702),(1,0.19272),(647,0.19428),(870,0.19863),(620,0.212692),(126,0.2192),(633,0.222801),(589,0.237457),(869,0.240031)
4,10,(466,0.150379),(254,0.156735),(1211,0.164214),(18,0.173553),(461,0.187126),(387,0.208224),(1331,0.22025),(645,0.225855),(386,0.228224),(1326,0.233923)
5,10,(638,0.126626),(116,0.144217),(212,0.222934),(603,0.236684),(403,0.238362),(560,0.238813),(900,0.247503),(80,0.248636),(118,0.264587),(61,0.267509)
6,10,(938,0.686618),(826,0.72631),(1303,0.733242),(183,0.733438),(383,0.739944),(1354,0.76329),(363,0.765207),(328,0.768319),(105,0.768903),(1053,0.768966)
7,10,(642,0.116743),(60,0.135855),(567,0.139217),(433,0.140842),(453,0.162129),(733,0.174913),(521,0.174985),(921,0.198901),(1043,0.208829),(455,0.211622)
8,10,(64,0.170146),(944,0.180633),(399,0.197652),(911,0.213406),(1423,0.231532),(406,0.248497),(843,0.267237),(418,0.270438),(420,0.270438),(1483,0.284802)
9,10,(84,0.123295),(609,0.127473),(624,0.13245),(607,0.186014),(626,0.217045),(619,0.225692),(652,0.24008),(429,0.244764),(919,0.250645),(616,0.268918)
10,10,(69,0.185009),(1070,0.20076),(38,0.204337),(431,0.206947),(543,0.224446),(193,0.233125),(1458,0.249161),(328,0.263101),(1054,0.27367),(1354,0.275527)
11,10,(127,0.121559),(12,0.141214),(777,0.154789),(399,0.159277),(958,0.161373),(805,0.179748),(1242,0.182981),(1136,0.183356),(231,0.191493),(817,0.195647)
12,10,(1136,0.108119),(11,0.141214),(127,0.169916),(1423,0.181295),(428,0.188193),(419,0.19235),(777,0.192657),(439,0.199687),(179,0.204014),(1483,0.212076)
13,10,(1011,0.22207),(1122,0.225367),(442,0.252434),(38,0.255579),(90,0.273234),(1369,0.273585),(431,0.273891),(1063,0.279025),(1314,0.290143),(1070,0.297979)
14,10,(631,0.210257),(480,0.214114),(671,0.227533),(456,0.228643),(670,0.245406),(557,0.256031),(122,0.257278),(81,0.270277),(239,0.280986),(531,0.289499)
15,10,(472,0.235892),(473,0.24649),(872,0.246612),(550,0.25727),(600,0.26545),(1,0.271567),(213,0.273319),(589,0.27668),(3,0.289455),(1087,0.307926)
16,10,(182,0.118956),(157,0.13077),(21,0.132529),(846,0.137525),(1234,0.153835),(349,0.154224),(1353,0.165708),(1049,0.167839),(768,0.169345),(737,0.173062)
17,10,(1287,0.207219),(152,0.210176),(375,0.221286),(350,0.228951),(369,0.244166),(351,0.257853),(661,0.260137),(734,0.269412),(21,0.277665),(524,0.279991)
18,10,(386,0.125304),(387,0.125304),(466,0.138752),(151,0.146212),(888,0.164557),(1272,0.167748),(254,0.172148),(4,0.173553),(941,0.189159),(500,0.200174)
19,10,(150,0.108226),(903,0.12891),(419,0.163749),(179,0.181972),(1158,0.201805),(701,0.20198),(258,0.203565),(777,0.238385),(1242,0.238899),(1211,0.239742)
20,10,(946,0.173134),(537,0.187268),(1161,0.190581),(252,0.192913),(143,0.204915),(885,0.207925),(1004,0.223046),(910,0.240065),(344,0.248281),(360,0.248438)
21,10,(372,0.091559),(1066,0.100581),(661,0.102472),(349,0.118305),(1049,0.129074),(16,0.132529),(1282,0.142522),(846,0.147582),(328,0.150744),(535,0.156027)
22,10,(563,0.10539),(1348,0.126424),(768,0.129988),(442,0.132981),(1296,0.141552),(1125,0.141936),(1279,0.145064),(535,0.153507),(349,0.159792),(1066,0.160648)
23,10,(1297,0.247813),(332,0.272884),(979,0.28402),(980,0.28402),(309,0.294437),(1351,0.308483),(1347,0.324275),(831,0.336679),(430,0.346728),(310,0.37495)
24,10,(25,0.0948038),(145,0.102334),(1216,0.106424),(1264,0.106484),(923,0.137776),(1265,0.145376),(308,0.152115),(997,0.159801),(1353,0.167449),(846,0.168125)
25,10,(1264,0.0566244),(24,0.0948038),(1265,0.0955159),(923,0.105444),(145,0.157138),(859,0.160576),(1049,0.176492),(525,0.176754),(846,0.177984),(687,0.178488)
26,10,(455,0.113223),(194,0.117593),(921,0.118565),(1043,0.12901),(531,0.147206),(81,0.164347),(78,0.179473),(122,0.183304),(549,0.188442),(1180,0.191661)
27,10,(366,0.0904413),(1304,0.172701),(414,0.20167),(970,0.217121),(971,0.217121),(796,0.227663),(1302,0.228018),(1139,0.228632),(1173,0.233105),(189,0.234924)
28,10,(1302,0.0956395),(1301,0.124361),(54,0.138047),(414,0.147448),(1304,0.150956),(826,0.152006),(1073,0.152401),(454,0.165066),(363,0.167922),(274,0.183094)
29,10,(620,0.102076),(126,0.235324),(117,0.254999),(618,0.270191),(647,0.281259),(527,0.28274),(213,0.286774),(619,0.293522),(870,0.296946),(602,0.302852)
30,10,(1387,0.293297),(746,0.31694),(425,0.350311),(1451,0.350311),(1370,0.41526),(1086,0.423586),(326,0.430143),(1269,0.433476),(219,0.438429),(483,0.447021)
31,10,(780,0.144795),(806,0.24561),(1160,0.260266),(686,0.301316),(226,0.306677),(1241,0.315542),(811,0.332738),(1326,0.340305),(1363,0.34437),(556,0.345338)
32,10,(567,0.334929),(7,0.342708),(733,0.344247),(851,0.356542),(60,0.411167),(1463,0.431495),(642,0.432054),(787,0.446009),(73,0.453769),(455,0.458484)
33,10,(775,0.395418),(385,0.404836),(1172,0.410724),(392,0.41163),(739,0.452356),(1287,0.460813),(152,0.485254),(575,0.48771),(1195,0.489745),(895,0.490604)
34,10,(912,0.228377),(436,0.232941),(437,0.232941),(359,0.331423),(1165,0.345315),(565,0.345413),(114,0.347802),(925,0.356879),(1388,0.362143),(135,0.364929)
35,10,(1437,0.125267),(1457,0.131924),(635,0.157767),(1355,0.215282),(191,0.22251),(792,0.233473),(1438,0.249449),(1037,0.252977),(1266,0.290612),(1077,0.297)
