1,ADT1_YEAST,0.58,0.61,0.47,0.13,0.50,0.00,0.48,0.22,MIT,MIT,MIT
2,ADT2_YEAST,0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,MIT,CYT,MIT
3,ADT3_YEAST,0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,MIT,MIT,MIT
4,AAR2_YEAST,0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,NUC,NUC,NUC
5,AATM_YEAST,0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,MIT,MIT,MIT
6,AATC_YEAST,0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,CYT,CYT,CYT
7,ABC1_YEAST,0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,MIT,MIT,MIT
8,BAF1_YEAST,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,NUC,NUC,NUC
9,ABF2_YEAST,0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,MIT,MIT,MIT
10,ABP1_YEAST,0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,CYT,CYT,CYT
11,ACE1_YEAST,0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,NUC,NUC,NUC
12,ACE2_YEAST,0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,NUC,NUC,NUC
13,ACH1_YEAST,0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,CYT,CYT,CYT
14,ACON_YEAST,0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,MIT,MIT,MIT
15,ACR1_YEAST,0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,MIT,MIT,MIT
16,ACT_YEAST,0.46,0.44,0.52,0.11,0.50,0.00,0.50,0.22,CYT,CYT,CYT
17,ACT2_YEAST,0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,CYT,CYT,CYT
18,ACT3_YEAST,0.58,0.47,0.54,0.11,0.50,0.00,0.51,0.26,NUC,NUC,NUC
19,ACT5_YEAST,0.50,0.34,0.55,0.21,0.50,0.00,0.49,0.22,NUC,NUC,NUC
20,ADA2_YEAST,0.61,0.60,0.55,0.21,0.50,0.00,0.50,0.25,NUC,NUC,NUC
21,C1TC_YEAST,0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,CYT,CYT,CYT
22,PUR4_YEAST,0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,CYT,CYT,CYT
23,PUR3_YEAST,0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,CYT,CYT,CYT
24,ADH1_YEAST,0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,CYT,CYT,CYT
25,ADH2_YEAST,0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,CYT,CYT,CYT
26,ADH3_YEAST,0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,MIT,MIT,MIT
27,ADH4_YEAST,0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,CYT,CYT,CYT
28,KAD1_YEAST,0.57,0.47,0.60,0.18,0.50,0.00,0.51,0.22,CYT,CYT,CYT
29,KAD2_YEAST,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,MIT,MIT,MIT
30,ADP1_YEAST,0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,ME1,NUC,ME1
31,ADR1_YEAST,0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,NUC,NUC,NUC
32,AFG3_YEAST,0.51,0.51,0.43,0.87,0.50,0.00,0.52,0.22,MIT,MIT,MIT
33,AFR1_YEAST,0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,CYT,CYT,CYT
34,RCS1_YEAST,0.33,0.55,0.51,0.43,0.50,0.00,0.51,0.22,NUC,NUC,NUC
35,AGA1_YEAST,0.78,0.74,0.42,0.26,0.50,0.00,0.43,0.22,ME1,CYT,ME1
36,AGA2_YEAST,0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,EXC,CYT,EXC
37,YMX1_YEAST,0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,MIT,MIT,ERL
