1,1,(178,0.570158)
2,1,(678,0.815738)
3,1,(423,1.11551)
4,1,(502,1.05319)
5,1,(523,1.22048)
6,1,(686,1.3415)
7,1,(787,0.472206)
8,1,(512,1.01023)
9,1,(988,0.995773)
10,1,(321,0.0541983)
11,1,(965,0.655299)
12,1,(505,0.930087)
13,1,(406,0.567279)
14,1,(180,0.390411)
15,1,(156,0.316697)
16,1,(167,0.560865)
17,1,(150,0.361474)
18,1,(213,1.84597)
19,1,(379,1.06274)
20,1,(717,0.904463)
21,1,(207,0.567656)
22,1,(710,1.40099)
23,1,(582,1.28283)
24,1,(1000,1.01843)
25,1,(793,1.23901)
26,1,(261,0.967958)
27,1,(998,0.815473)
28,1,(976,1.9308)
29,1,(448,0.360049)
30,1,(814,1.3502)
31,1,(450,1.34193)
32,1,(209,0.345002)
33,1,(108,0.755847)
34,1,(284,0.788984)
35,1,(605,0.998109)
36,1,(10,0.847637)
37,1,(600,1.66104)
38,1,(50,0.899003)
39,1,(627,0.456449)
40,1,(763,0.558996)
41,1,(943,0.634701)
42,1,(966,0.813623)
43,1,(791,1.03449)
44,1,(803,1.03828)
45,1,(702,0.726569)
46,1,(380,0.833588)
47,1,(165,0.450539)
48,1,(805,1.28692)
49,1,(773,1.43807)
50,1,(359,0.586678)
51,1,(613,0.808787)
52,1,(731,0.988156)
53,1,(225,0.45121)
54,1,(507,1.03345)
55,1,(542,1.0445)
56,1,(276,1.98569)
57,1,(436,1.40445)
58,1,(277,1.02379)
59,1,(692,0.973459)
60,1,(762,1.49871)
61,1,(556,0.889064)
62,1,(1,0.865615)
63,1,(729,1.23516)
64,1,(888,0.697582)
65,1,(145,0.640909)
66,1,(845,1.33903)
67,1,(563,0.720615)
68,1,(168,0.557192)
69,1,(134,1.11117)
70,1,(477,0.308537)
71,1,(58,1.13575)
72,1,(201,0.878588)
73,1,(293,1.4279)
74,1,(182,1.46469)
75,1,(381,0.872148)
76,1,(625,0.726384)
77,1,(994,0.597239)
78,1,(487,0.913924)
79,1,(896,2.03387)
80,1,(693,0.543925)
81,1,(909,1.16731)
82,1,(743,0.58334)
83,1,(796,0.835413)
84,1,(262,0.608246)
85,1,(849,0.279356)
86,1,(434,0.707906)
87,1,(162,0.733096)
88,1,(564,1.58463)
89,1,(266,1.05642)
90,1,(202,1.25735)
91,1,(247,0.743543)
92,1,(589,1.01564)
93,1,(639,1.35864)
94,1,(520,1.45914)
95,1,(494,1.09347)
96,1,(375,1.85769)
97,1,(201,0.896695)
98,1,(339,0.607082)
99,1,(670,0.84624)
100,1,(792,1.67422)
101,1,(533,0.748622)
102,1,(195,0.668391)
103,1,(937,0.373541)
104,1,(208,0.590037)
105,1,(573,0.673454)
106,1,(432,1.78581)
107,1,(828,1.55216)
108,1,(33,0.761552)
109,1,(352,1.45907)
110,1,(910,0.622469)
111,1,(970,1.8679)
112,1,(505,0.932841)
113,1,(479,1.29382)
114,1,(434,0.999603)
115,1,(436,0.910941)
116,1,(215,0.78163)
117,1,(543,1.17269)
118,1,(691,2.03541)
119,1,(803,0.712019)
120,1,(538,1.27175)
121,1,(522,0.874884)
122,1,(427,0.99946)
123,1,(583,0.631141)
124,1,(542,0.840297)
125,1,(776,1.01779)
126,1,(760,0.610759)
127,1,(652,0.727163)
128,1,(652,0.25141)
129,1,(475,0.850468)
130,1,(126,1.03556)
131,1,(296,1.04017)
132,1,(790,0.724451)
133,1,(254,0.926448)
134,1,(542,0.896176)
135,1,(638,1.05217)
136,1,(239,0.781842)
137,1,(385,1.05643)
138,1,(724,0.218499)
139,1,(410,1.41837)
140,1,(39,0.877824)
141,1,(291,1.22223)
142,1,(456,0.922673)
143,1,(959,0.818715)
144,1,(261,0.406555)
145,1,(547,0.630398)
146,1,(841,1.13859)
147,1,(803,1.11502)
148,1,(380,0.717873)
149,1,(398,0.774211)
150,1,(17,0.358218)
151,1,(610,1.30062)
152,1,(487,1.1212)
153,1,(231,0.459176)
154,1,(771,1.3675)
155,1,(960,0.902316)
156,1,(15,0.320983)
157,1,(265,1.35239)
158,1,(632,1.38034)
159,1,(443,0.867812)
160,1,(211,0.154345)
161,1,(792,1.23785)
162,1,(87,0.736414)
163,1,(995,0.783363)
164,1,(780,1.50753)
165,1,(371,0.419333)
166,1,(674,0.682532)
167,1,(16,0.498268)
168,1,(68,0.56519)
169,1,(513,0.660505)
170,1,(883,0.946471)
171,1,(854,0.889643)
172,1,(615,0.453573)
173,1,(859,0.877125)
174,1,(499,0.766416)
175,1,(952,0.915183)
176,1,(515,2.14706)
177,1,(919,0.874046)
178,1,(1,0.578642)
179,1,(242,1.57144)
180,1,(14,0.386785)
181,1,(81,1.42952)
182,1,(33,1.24922)
183,1,(930,1.25084)
184,1,(782,0.505345)
185,1,(657,0.579781)
