1,4,(2,2.28614),(14,3.23883),(3,3.27994),(15,3.37676)
2,4,(1,2.28614),(4,2.78033),(15,3.31119),(3,3.53813)
3,4,(4,1.75875),(5,3.02524),(1,3.27994),(14,3.31395)
4,4,(3,1.75875),(2,2.78033),(15,3.83277),(16,4.26823)
5,4,(6,1.17508),(3,3.02524),(7,3.16363),(14,3.20458)
6,4,(5,1.17508),(7,2.92722),(14,3.0869),(16,3.24709)
7,4,(8,0.865178),(6,2.92722),(5,3.16363),(14,3.35787)
8,4,(7,0.865178),(14,3.58848),(5,3.62056),(15,3.65463)
9,4,(10,1.10264),(12,3.12051),(16,3.24952),(6,3.39274)
10,4,(9,1.10264),(16,3.06166),(20,3.33992),(13,3.50244)
11,4,(12,2.61344),(10,3.92759),(9,4.04655),(16,4.55875)
12,4,(11,2.61344),(13,2.68824),(9,3.12051),(5,3.51004)
13,4,(14,1.66653),(12,2.68824),(5,3.43164),(16,3.49191)
14,4,(13,1.66653),(6,3.0869),(15,3.11229),(5,3.20458)
15,4,(16,2.5369),(14,3.11229),(2,3.31119),(1,3.37676)
16,4,(15,2.5369),(10,3.06166),(6,3.24709),(9,3.24952)
17,4,(18,1.57021),(1,3.7268),(14,3.84903),(15,4.13139)
18,4,(17,1.57021),(1,3.58394),(6,3.62505),(14,3.67492)
19,4,(20,0.900434),(10,4.01204),(16,4.0199),(9,4.08059)
20,4,(19,0.900434),(10,3.33992),(16,4.03424),(9,4.31756)
