0,1,23,3,1,19,3,3,3
1,2,15,3,1,17,3,3,3
2,1,23,3,2,49,3,3,3
3,1,5,2,2,33,3,3,3
4,2,7,11,2,55,3,3,3
5,2,23,3,1,20,3,3,3
6,2,9,5,2,19,3,3,3
7,2,10,3,2,27,3,3,3
8,1,22,3,1,58,3,3,3
9,2,15,3,1,20,3,3,3
10,2,10,22,2,9,3,3,3
11,2,13,1,2,30,3,3,3
12,2,18,21,2,29,3,3,3
13,2,6,17,2,39,3,3,3
14,2,6,17,2,42,2,2,2
15,2,6,17,2,43,2,2,2
16,2,7,11,2,10,2,2,2
17,2,22,3,2,46,2,2,2
18,2,13,3,1,10,2,2,2
19,2,7,25,2,42,2,2,2
20,2,25,7,2,27,2,2,2
21,2,25,7,2,23,2,2,2
22,2,2,9,2,31,2,2,2
23,2,1,15,1,22,2,2,2
24,2,15,13,2,37,2,2,2
25,2,7,11,2,13,2,2,2
26,2,8,3,2,24,2,2,2
27,2,14,15,2,38,2,1,1
28,2,21,2,2,42,1,1,1
29,2,22,3,2,28,1,1,1
30,2,11,1,2,51,1,1,1
31,2,18,5,2,19,1,1,1
32,2,13,1,2,31,1,1,1
33,1,13,3,1,13,1,1,1
34,2,5,2,2,37,1,1,1
35,2,16,8,2,36,1,1,1
36,2,4,16,2,21,1,1,1
37,2,5,2,2,48,1,1,1
38,2,14,15,2,38,1,2,2
39,1,23,3,1,19,3,3,3
40,2,15,3,1,17,3,3,3
41,1,23,3,2,49,3,3,3
42,1,5,2,2,33,3,3,3
43,2,7,11,2,55,3,3,3
44,2,23,3,1,20,3,3,3
45,2,9,5,2,19,3,3,3
46,2,10,3,2,27,3,3,3
47,1,22,3,2,58,3,3,3
48,2,15,3,1,20,3,3,3
49,2,10,22,2,9,3,3,3
50,2,13,1,2,30,3,3,3
51,2,18,21,2,29,3,3,3
52,2,6,17,2,39,3,3,3
53,2,6,17,2,42,2,2,2
54,2,6,17,2,43,2,2,2
55,2,7,11,2,10,2,2,2
56,2,22,3,2,46,2,2,2
57,2,13,3,1,10,2,2,2
58,2,7,25,2,42,2,2,2
59,2,25,7,2,27,2,2,2
60,2,25,7,2,23,2,2,2
61,2,2,9,2,31,2,2,2
62,2,1,15,1,22,2,2,2
63,2,15,13,2,37,2,2,2
64,2,7,11,2,13,2,2,2
65,2,8,3,2,24,2,2,2
66,2,14,15,2,38,2,2,2
67,2,21,2,2,42,1,1,1
68,2,22,3,2,28,1,1,1
69,2,11,1,2,51,1,1,1
70,2,18,5,2,19,1,1,1
71,2,13,1,2,31,1,1,1
72,1,13,3,1,13,1,1,1
73,2,5,2,2,37,1,1,1
74,2,16,8,2,36,1,1,1
75,2,4,16,2,21,1,1,1
76,2,5,2,2,48,1,1,1
77,2,14,15,2,38,1,2,2
78,1,23,3,1,25,3,3,3
79,1,13,3,1,17,3,3,3
80,2,16,19,2,11,3,2,2
81,2,9,2,2,39,3,1,1
82,2,13,3,1,11,3,3,1
83,2,18,21,2,19,3,1,1
84,1,22,3,2,45,3,2,2
85,2,7,11,1,20,3,2,1
86,2,23,3,1,20,3,3,3
87,1,23,3,1,20,3,2,2
88,1,23,3,2,38,3,1,1
89,2,14,22,2,17,3,3,3
90,1,17,17,2,19,3,3,3
91,2,9,5,2,24,3,2,2
92,2,18,25,2,25,3,2,2
93,1,17,17,2,31,3,2,2
94,2,1,15,2,31,3,2,2
95,2,1,8,2,18,2,1,1
96,1,11,16,2,22,2,3,3
97,1,22,13,2,27,2,3,2
98,2,9,2,2,14,2,1,1
99,2,13,1,2,20,2,1,1
100,1,6,17,2,35,2,3,3
101,2,23,3,1,20,2,3,3
102,1,23,3,1,20,2,3,3
103,2,6,17,2,37,2,1,1
104,1,22,3,2,15,2,1,1
105,2,20,2,2,25,2,1,1
106,2,23,3,2,10,2,1,1
107,2,20,2,2,14,1,1,1
108,1,23,3,2,38,1,3,3
109,2,13,1,2,29,1,3,3
110,2,10,3,2,19,1,1,1
111,2,7,11,2,30,1,1,1
112,1,14,15,2,32,1,3,3
113,2,8,3,2,27,1,3,1
114,2,12,7,2,34,1,1,1
115,2,8,7,2,23,1,2,2
116,2,15,1,2,66,1,1,1
117,2,23,3,2,12,1,1,1
118,2,2,9,2,29,1,1,1
119,2,15,1,2,19,1,1,1
120,2,20,2,2,3,1,1,1
121,2,13,14,2,17,3,2,2
122,2,9,6,2,7,3,2,2
123,1,10,3,2,21,3,3,3
124,2,14,15,2,36,3,1,1
125,1,13,1,2,54,3,3,1
126,1,8,3,2,29,3,1,1
127,2,20,2,2,45,3,1,1
128,2,22,1,2,11,2,1,1
129,2,18,12,2,16,2,1,1
130,2,20,15,2,18,2,1,1
131,1,17,18,2,44,2,1,1
132,2,14,23,2,17,2,3,3
133,2,24,26,2,21,2,2,2
134,2,9,24,2,20,2,3,2
135,2,12,8,2,24,2,1,1
136,2,9,6,2,5,2,3,3
137,2,22,1,2,42,2,1,1
138,2,7,11,2,30,1,1,1
139,2,10,3,2,19,1,1,1
140,2,23,3,2,11,1,1,1
141,2,17,18,2,29,1,3,3
142,2,16,20,2,15,1,3,3
143,2,3,2,2,37,1,1,1
144,2,19,4,2,10,1,2,2
145,2,23,3,2,24,1,1,1
146,2,3,2,2,26,1,1,1
147,2,10,3,2,12,1,1,1
148,1,18,7,2,48,1,3,3
149,2,22,1,2,51,1,3,1
150,2,2,10,2,27,1,2,2
