1,10,(1445,2.1143),(1058,2.12123),(633,2.1311),(226,2.13388),(473,2.13467),(126,2.1401),(824,2.14292),(558,2.15493),(291,2.15699),(1474,2.15848)
2,10,(1003,2.18679),(1060,2.20623),(215,2.21774),(577,2.22053),(565,2.22298),(640,2.23202),(791,2.23402),(1362,2.23432),(1094,2.23823),(902,2.23972)
3,10,(558,2.08078),(1340,2.1138),(569,2.11391),(300,2.12642),(57,2.12727),(1228,2.12792),(430,2.13524),(310,2.17354),(367,2.17408),(473,2.17532)
4,10,(414,2.09513),(1302,2.10162),(1415,2.12747),(466,2.15038),(254,2.15674),(1304,2.15694),(1041,2.15985),(1211,2.16421),(651,2.16812),(622,2.16927)
5,10,(638,2.12663),(330,2.14038),(116,2.14422),(114,2.16883),(829,2.21465),(212,2.22293),(603,2.23668),(403,2.23836),(560,2.23881),(900,2.2475)
6,10,(760,2.46764),(230,2.47325),(111,2.50856),(721,2.66064),(938,2.68662),(593,2.71533),(1389,2.71944),(419,2.72474),(826,2.72631),(1242,2.73092)
7,10,(642,2.11674),(60,2.13586),(567,2.13922),(433,2.14084),(453,2.16213),(733,2.17491),(521,2.17498),(921,2.1989),(1043,2.20883),(455,2.21162)
8,10,(64,2.17015),(944,2.18063),(399,2.19765),(431,2.20728),(859,2.21246),(911,2.21341),(1263,2.21916),(757,2.2311),(1423,2.23153),(193,2.23578)
9,10,(84,2.1233),(609,2.12747),(624,2.13245),(607,2.18601),(1025,2.19258),(1026,2.19258),(626,2.21705),(619,2.22569),(943,2.23835),(652,2.24008)
10,10,(1136,2.17219),(64,2.17435),(69,2.18501),(12,2.20031),(1070,2.20076),(38,2.20434),(431,2.20695),(1483,2.2137),(127,2.22229),(543,2.22445)
11,10,(51,2.11785),(127,2.12156),(1197,2.12388),(1012,2.1322),(1013,2.1322),(12,2.14121),(661,2.14322),(1282,2.15162),(349,2.15337),(777,2.15479)
12,10,(1136,2.10812),(11,2.14121),(543,2.16908),(127,2.16992),(1282,2.17699),(1423,2.1813),(428,2.18819),(431,2.1896),(419,2.19235),(777,2.19266)
13,10,(1419,2.20755),(887,2.21595),(777,2.21604),(1011,2.22207),(1122,2.22537),(757,2.22708),(691,2.23084),(834,2.23675),(908,2.25103),(442,2.25243)
14,10,(1239,2.1465),(142,2.16448),(850,2.18563),(1240,2.19448),(1238,2.19486),(631,2.21026),(917,2.21358),(480,2.21411),(894,2.21435),(671,2.22753)
15,10,(302,2.15928),(898,2.16502),(1235,2.18364),(1476,2.18694),(367,2.20135),(223,2.20482),(1350,2.2086),(56,2.21691),(430,2.23016),(316,2.2302)
16,10,(1272,2.10058),(182,2.11896),(157,2.13077),(21,2.13253),(846,2.13752),(909,2.14783),(656,2.15211),(1234,2.15384),(349,2.15422),(1353,2.16571)
17,10,(1252,2.12149),(526,2.17265),(1287,2.20722),(152,2.21018),(375,2.22129),(498,2.2242),(700,2.22565),(556,2.228),(350,2.22895),(369,2.24417)
18,10,(1304,2.11909),(386,2.1253),(387,2.1253),(466,2.13875),(897,2.14),(830,2.1446),(651,2.14519),(151,2.14621),(1352,2.16088),(888,2.16456)
19,10,(150,2.10823),(903,2.12891),(373,2.13851),(105,2.14858),(938,2.15408),(419,2.16375),(1012,2.16877),(1013,2.16877),(183,2.17259),(1066,2.17895)
20,10,(1292,2.10869),(620,2.12234),(1350,2.13642),(1342,2.13695),(870,2.155),(55,2.16265),(126,2.16675),(946,2.17313),(1073,2.17896),(1213,2.18125)
21,10,(372,2.09156),(1066,2.10058),(661,2.10247),(1242,2.11335),(349,2.1183),(1049,2.12907),(16,2.13253),(1282,2.14252),(267,2.14569),(1372,2.14569)
22,10,(563,2.10539),(1348,2.12642),(768,2.12999),(442,2.13298),(1296,2.14155),(1125,2.14194),(920,2.14408),(1279,2.14506),(530,2.15242),(535,2.15351)
23,10,(550,2.10241),(1411,2.13616),(88,2.15402),(37,2.17069),(191,2.18356),(229,2.18966),(199,2.2071),(288,2.212),(1403,2.21578),(512,2.21902)
24,10,(25,2.0948),(145,2.10233),(1216,2.10642),(1264,2.10648),(923,2.13778),(1225,2.13961),(1265,2.14538),(308,2.15211),(997,2.1598),(138,2.16039)
25,10,(1264,2.05662),(24,2.0948),(1265,2.09552),(923,2.10544),(1044,2.14135),(138,2.14778),(145,2.15714),(859,2.16058),(1049,2.17649),(525,2.17675)
26,10,(455,2.11322),(194,2.11759),(921,2.11857),(1043,2.12901),(531,2.14721),(81,2.16435),(78,2.17947),(142,2.17949),(122,2.1833),(549,2.18844)
27,10,(366,2.09044),(165,2.16253),(1304,2.1727),(414,2.20167),(970,2.21712),(971,2.21712),(1339,2.22064),(796,2.22766),(1302,2.22802),(1139,2.22863)
28,10,(1331,2.04546),(1302,2.09564),(622,2.10526),(910,2.11129),(1301,2.12436),(466,2.12688),(759,2.12817),(943,2.12935),(54,2.13805),(414,2.14745)
29,10,(620,2.10208),(55,2.16694),(20,2.20195),(537,2.22208),(143,2.22389),(430,2.22447),(56,2.22513),(1285,2.23006),(1350,2.23343),(1342,2.23395)
30,10,(327,2.2433),(1387,2.2933),(70,2.31496),(746,2.31694),(425,2.35031),(1451,2.35031),(484,2.39829),(1370,2.41526),(1086,2.42359),(306,2.42403)
31,10,(780,2.14479),(1309,2.18011),(469,2.18859),(65,2.23135),(1330,2.23428),(967,2.23629),(968,2.23629),(525,2.24088),(806,2.24561),(294,2.25187)
32,10,(1455,2.31381),(567,2.33493),(7,2.34271),(733,2.34425),(851,2.35654),(60,2.41117),(1463,2.4315),(642,2.43205),(787,2.44601),(73,2.45377)
33,10,(304,2.28612),(1436,2.31604),(1251,2.32212),(164,2.32283),(374,2.36571),(540,2.38161),(646,2.3899),(412,2.39128),(775,2.39542),(94,2.40475)
34,10,(629,2.12565),(861,2.18152),(912,2.22838),(560,2.22845),(1088,2.23151),(654,2.2319),(436,2.23294),(437,2.23294),(80,2.23644),(381,2.27125)
35,10,(1437,2.12527),(1457,2.13192),(635,2.15777),(99,2.1938),(1411,2.21359),(1355,2.21528),(776,2.21976),(191,2.22251),(1421,2.22589),(792,2.23347)
36,10,(1411,2.20518),(213,2.2076),(97,2.22875),(755,2.24342),(581,2.25415),(1437,2.25478),(23,2.25639),(979,2.27709),(980,2.27709),(35,2.28239)
37,10,(332,2.16219),(23,2.17069),(199,2.17236),(88,2.19397),(550,2.20465),(512,2.20674),(229,2.20971),(562,2.21186),(198,2.21813),(485,2.2257)
38,10,(64,2.09544),(278,2.12927),(1070,2.13137),(770,2.13434),(405,2.14007),(431,2.14728),(231,2.15036),(1056,2.15527),(1044,2.17871),(1216,2.18623)
39,10,(458,2.14014),(1240,2.16367),(850,2.17745),(1238,2.18082),(561,2.18417),(860,2.20193),(671,2.20815),(201,2.2085),(566,2.2139),(1374,2.21788)
40,10,(1255,2.14201),(652,2.16362),(725,2.17408),(429,2.17894),(77,2.18117),(122,2.18149),(619,2.18556),(866,2.18695),(189,2.18701),(1118,2.18721)
41,10,(496,2.1163),(720,2.16917),(293,2.18053),(792,2.18467),(282,2.22518),(99,2.2367),(1355,2.2535),(191,2.25774),(1480,2.25948),(1051,2.2619)
42,10,(552,2.24968),(364,2.2533),(581,2.26986),(1108,2.275),(70,2.27695),(1462,2.30337),(506,2.32959),(778,2.33332),(776,2.35688),(1266,2.35941)
43,10,(512,2.14701),(49,2.19646),(199,2.22266),(288,2.23259),(88,2.25042),(550,2.25349),(1266,2.26097),(831,2.2653),(478,2.26677),(562,2.27239)
44,10,(112,2.11201),(325,2.13058),(517,2.13312),(1420,2.13675),(341,2.14351),(1203,2.14586),(802,2.14943),(1406,2.15615),(811,2.15791),(1434,2.16559)
45,10,(543,2.10136),(179,2.10643),(828,2.13384),(805,2.13843),(322,2.13992),(782,2.16052),(841,2.17792),(127,2.17947),(280,2.17961),(1197,2.1826)
46,10,(675,2.29406),(1133,2.31884),(753,2.32282),(178,2.33366),(1164,2.33902),(1027,2.343),(1028,2.343),(604,2.34792),(919,2.35888),(927,2.36411)
47,10,(1144,2.33802),(713,2.38283),(513,2.38997),(580,2.45175),(1462,2.48894),(97,2.51179),(1189,2.51465),(36,2.51859),(1210,2.52602),(774,2.52904)
48,10,(1035,2.11928),(1405,2.12182),(648,2.12384),(105,2.12415),(1296,2.14506),(1011,2.15532),(1012,2.15902),(1013,2.15902),(920,2.16994),(1030,2.17234)
49,10,(332,2.17442),(43,2.19646),(1186,2.20545),(647,2.22183),(512,2.24581),(37,2.24919),(160,2.25837),(323,2.26675),(462,2.26882),(866,2.27125)
50,10,(368,2.21651),(1345,2.24942),(1428,2.26091),(315,2.26253),(710,2.26279),(532,2.2652),(261,2.27099),(1149,2.27659),(1402,2.29077),(1418,2.29448)
51,10,(92,2.1046),(690,2.10871),(1066,2.11766),(11,2.11785),(372,2.12902),(661,2.13773),(349,2.14825),(1290,2.15175),(1139,2.15514),(1012,2.15524)
52,10,(534,2.20642),(1460,2.26201),(1105,2.2723),(1416,2.28514),(883,2.28804),(717,2.29064),(1360,2.30689),(1113,2.30785),(164,2.31752),(1039,2.32027)
53,10,(90,2.19057),(675,2.23644),(890,2.23953),(1246,2.24411),(757,2.25584),(868,2.2591),(1263,2.27766),(1291,2.27936),(584,2.28349),(670,2.28747)
54,10,(943,2.0844),(913,2.09312),(910,2.09572),(950,2.12695),(725,2.13127),(607,2.13429),(810,2.1357),(613,2.13637),(28,2.13805),(1331,2.13805)
55,10,(56,2.05818),(143,2.10525),(620,2.13227),(1342,2.1492),(20,2.16265),(29,2.16694),(1350,2.17115),(898,2.18486),(1285,2.18778),(618,2.1917)
56,10,(55,2.05818),(143,2.11603),(898,2.12668),(1350,2.14036),(472,2.14324),(1342,2.16439),(620,2.17045),(1285,2.17699),(100,2.18374),(360,2.19502)
57,10,(430,2.10797),(3,2.12727),(1161,2.1681),(1,2.1704),(1474,2.1933),(569,2.19623),(633,2.20048),(558,2.20804),(310,2.21341),(300,2.21369)
58,10,(239,2.0411),(1310,2.1504),(511,2.15889),(868,2.16441),(917,2.17099),(725,2.17714),(983,2.17993),(818,2.18544),(1314,2.18705),(530,2.18803)
59,10,(858,2.08409),(1348,2.09422),(1335,2.11817),(365,2.12039),(957,2.12091),(278,2.12201),(879,2.13247),(141,2.1433),(231,2.14338),(714,2.1544)
60,10,(433,2.11836),(7,2.13586),(521,2.16953),(642,2.17922),(453,2.18563),(74,2.18893),(1048,2.21253),(733,2.2209),(567,2.2252),(548,2.2292)
61,10,(330,2.1496),(480,2.22169),(81,2.2428),(5,2.26751),(603,2.27097),(560,2.28286),(26,2.2838),(1239,2.28632),(1096,2.29259),(531,2.29462)
62,10,(499,2.15942),(1149,2.17459),(658,2.17707),(523,2.18277),(1470,2.20735),(45,2.211),(1257,2.21785),(1259,2.21785),(401,2.22398),(253,2.2259)
63,10,(1245,2.12325),(1181,2.14149),(479,2.18927),(1291,2.21292),(1011,2.22935),(1204,2.23343),(154,2.24111),(1142,2.24299),(1246,2.25662),(598,2.25753)
64,10,(38,2.09544),(431,2.14754),(8,2.17015),(10,2.17435),(193,2.17604),(730,2.18505),(770,2.18731),(944,2.19078),(859,2.19961),(1056,2.20292)
65,10,(1326,2.17194),(1330,2.19279),(1352,2.19584),(1173,2.19984),(830,2.21212),(1176,2.21354),(1309,2.21498),(1148,2.22441),(1034,2.22582),(571,2.22648)
66,10,(1153,2.13642),(763,2.14999),(1352,2.16538),(491,2.19292),(388,2.19713),(830,2.19973),(1232,2.2154),(571,2.21657),(1235,2.21732),(764,2.22278)
67,10,(298,2.13038),(656,2.17749),(1216,2.17845),(392,2.18376),(1054,2.19454),(190,2.20303),(280,2.20759),(1293,2.21036),(575,2.21102),(744,2.21245)
68,10,(246,2.0652),(1341,2.11135),(1327,2.12506),(138,2.14069),(726,2.1485),(931,2.15527),(1272,2.15851),(1353,2.16089),(398,2.16597),(242,2.16836)
