0,9,(177,0.57113898557268228),(61,0.8760694997826195),(179,1.0451520096253122),(838,1.0513101400778775),(823,1.1970765153140186),(955,1.2624284688643534),(13,1.3667040388989635),(713,1.3720587607857004),(75,1.4604896911974301)
1,9,(677,0.81645783249639126),(521,0.83354339691519108),(217,0.88118058011633815),(569,1.0002207820416527),(887,1.2383317738695485),(295,1.2807995146416626),(576,1.2835507491751632),(706,1.3021337324077404),(7,1.3102331005668828)
2,9,(422,1.0981473905520744),(940,1.6854451773048391),(527,1.7124189464494941),(734,1.7227546736880741),(943,1.7305667976445558),(241,1.7687781192173411),(160,1.7709018348500836),(738,1.8442301285951228),(42,1.9652564227989708)
3,9,(501,1.0624115336095774),(392,1.4799267356260006),(814,1.5831823806024052),(42,1.7142786291296048),(796,1.7830422490300863),(316,1.7830948763301264),(790,1.7854459079729263),(239,1.7939624416862034),(731,1.845831341262558)
4,9,(522,1.2101255346212045),(814,1.3629407321984484),(737,1.4782062419238255),(501,1.5609333121223927),(429,1.6662137567331197),(853,1.6874528909616777),(72,1.6923074999782506),(292,1.6972644372690866),(334,1.7210761259554028)
5,9,(685,1.3263572287063827),(87,1.6314484030450545),(829,1.7853189349706207),(971,1.8526819379499642),(791,2.0507903394088478),(150,2.1458561155911995),(501,2.146519883931604),(940,2.1690429161527884),(392,2.1963769707518424)
6,9,(786,0.47077410832802902),(928,0.83316421031584054),(46,0.98971230427329382),(798,1.0038875932767752),(283,1.0135731636887715),(298,1.0172309611035713),(448,1.0250255699674298),(164,1.039150702418147),(994,1.1120141255213969)
7,9,(511,1.0135655033865307),(815,1.0849562371080586),(730,1.2647185400493604),(1,1.3102331005668828),(51,1.3117900351448708),(217,1.3257783603931945),(677,1.3579154376072389),(470,1.3836356559150671),(569,1.3861436149371009)
8,9,(987,0.99017053079512451),(211,1.0036186215998777),(816,1.0529070124243829),(502,1.0740293597534631),(629,1.33523160773464),(486,1.3513990606043789),(448,1.39086260458653),(695,1.454270554283966),(6,1.5040390660117997)
9,9,(320,0.054198305271266643),(35,0.83306543289648749),(125,0.91654070946030219),(128,1.0143160174245669),(86,1.1970664592381026),(148,1.2089026471679452),(284,1.2117990619109154),(966,1.2416682665852616),(825,1.3088092756066609)
10,9,(462,0.66290372646158924),(964,0.67448903076578581),(623,0.74241518023846353),(747,0.89995940752299264),(481,0.96598502000647068),(601,1.0882943474431528),(500,1.1136064133545682),(810,1.168184093134726),(553,1.1943064528904723)
11,9,(504,0.91655571285181625),(922,1.0292970906884398),(593,1.075213710540722),(570,1.10849809265155),(634,1.1590280043493255),(446,1.2146000073081811),(766,1.2368487164471511),(367,1.2422988071061565),(813,1.2727791860837567)
12,9,(405,0.56496233406564023),(480,0.71218647073219943),(540,0.89722516501736305),(576,0.91994651026211138),(555,1.0433351009544356),(435,1.1101530717898089),(918,1.1744175933363938),(600,1.198756755948901),(692,1.2063449471063388)
13,9,(179,0.38736032684160582),(838,0.62935398240236773),(823,0.68211396418297365),(759,1.0170495686497776),(825,1.044558375103233),(589,1.053411866171466),(641,1.0657899320051598),(438,1.0988191182652951),(544,1.1382338942768069)
14,9,(155,0.31343243558021339),(746,0.61195142542874537),(531,0.73328602610477001),(630,0.83475173460867402),(752,0.87294785773228489),(341,0.89368430363145146),(367,0.92841595156708834),(593,0.98660773958187464),(369,1.0250826438548417)
15,9,(166,0.53081068279357546),(466,0.6641068257865832),(414,0.72017784384050776),(321,0.75899275635408836),(126,0.75951042494307619),(339,0.79596397932016039),(474,0.85906376933690809),(722,0.88859202827601425),(651,0.93603903715539161)
16,9,(149,0.36168085774839365),(803,0.5799622854036961),(773,0.60915963187662503),(956,0.72701319965932298),(891,0.73059960679429992),(851,0.78694532088646585),(798,0.80580710591514482),(283,0.89202592692182492),(928,0.90844114491999184)
17,9,(212,1.8342824756869724),(740,2.039063650899263),(556,2.2305227426898102),(525,2.2624770016085383),(832,2.372883684891065),(945,2.4081216968996446),(615,2.4747182502588783),(208,2.4778166349176778),(658,2.4807463353353572)
18,9,(378,1.0527537465752521),(988,1.2091171400121663),(702,1.2246731015699956),(381,1.4532291744655597),(919,1.5215136949749106),(199,1.5982005253093479),(509,1.7838787123991739),(717,1.7972876341862944),(714,1.8118402854298215)
19,9,(716,0.89866561268553746),(895,0.95668528639072836),(791,1.1633531801872787),(547,1.2205923849627729),(241,1.2214981621651424),(830,1.3240459507428204),(408,1.4658816114041515),(327,1.4701232177114145),(160,1.5830082460409782)
20,9,(206,0.56071923671301394),(379,0.87488808245348682),(246,0.87601858492049067),(891,0.89953221512389825),(544,1.0531130474441375),(776,1.1692023356598729),(45,1.1732475819746584),(259,1.2076745387905643),(147,1.2394631327333745)
21,9,(709,1.3976790873928975),(731,1.4460736184183263),(905,1.4722286401594238),(316,1.5631852981189727),(689,1.5729090316581495),(796,1.6915214780615107),(586,1.8467989023114566),(693,1.8865407167794352),(239,1.9226918936520783)
22,9,(581,1.2802621294332861),(693,1.346343224388151),(617,1.3479206497849809),(494,1.397058032819029),(969,1.4946103808974178),(516,1.5104852678150675),(586,1.6067377289441453),(871,1.6171240103915865),(456,1.6675938970964508)
23,9,(999,1.0157980025296534),(537,1.1770484029060055),(478,1.3290408819538546),(84,1.3463840417112576),(893,1.4151448402816997),(77,1.4168276822421346),(400,1.424407734135227),(97,1.4627835956027044),(98,1.4728098812553712)
24,9,(792,1.2419121745185213),(385,1.322101370899839),(726,1.5042237852340028),(492,1.5759402420488604),(932,1.6048438147420854),(984,1.6412140790848408),(897,1.6435289831344557),(276,1.6467114889648926),(673,1.6649791908685472)
25,9,(260,0.96621697192362932),(60,1.1784210024871211),(109,1.191416167400658),(31,1.2034922976521518),(626,1.3046551438773593),(434,1.3175032771357109),(143,1.3769579431986441),(909,1.400692406115684),(447,1.4183204191357157)
26,9,(997,0.78026326748119934),(440,1.3064821320808881),(843,1.3254398030355086),(453,1.3400517180197702),(282,1.4372636458676296),(532,1.4445212219605359),(90,1.5411079895637874),(452,1.547414644457769),(46,1.5681359838814055)
27,9,(975,1.9084896764213031),(427,1.9769796940273914),(757,2.0955195885949589),(483,2.1497312640257027),(903,2.1772384084046648),(660,2.1894168906025362),(936,2.2449881824469595),(556,2.2621567231093485),(707,2.2758156021680778)
