1,3,(14,3.23883),(3,3.27994),(15,3.37676)
2,3,(4,2.78186),(15,3.31734),(3,3.54274)
3,3,(5,3.02524),(1,3.27994),(14,3.31395)
4,3,(2,2.81063),(3,3.84966),(15,3.89338)
5,3,(3,3.02524),(7,3.16363),(6,3.17508)
6,3,(7,2.92722),(14,3.0869),(5,3.17508)
7,3,(8,2.86518),(6,2.92722),(5,3.16363)
8,3,(7,2.98938),(14,3.70026),(15,3.76842)
9,3,(10,3.10264),(12,3.12051),(16,3.24952)
10,3,(16,3.06166),(9,3.10264),(20,3.33992)
11,3,(10,3.95884),(9,4.09119),(16,4.62794)
12,3,(13,2.68824),(9,3.12051),(5,3.51004)
13,3,(12,2.69241),(5,3.45664),(10,3.5566)
14,3,(6,3.0869),(15,3.11229),(5,3.20458)
15,3,(14,3.12826),(2,3.31518),(1,3.39539)
16,3,(10,3.06166),(6,3.24709),(9,3.24952)
17,3,(18,3.66448),(1,3.92208),(14,3.96351)
18,3,(17,3.83262),(1,3.84634),(6,4.28505)
19,3,(20,2.90043),(10,4.01204),(16,4.0199)
20,3,(19,2.90043),(10,3.33992),(16,4.03424)
